,INFEED CONVEYER,,,,,,,,,,,,,,OUTFEED CONVEYER,,,,,,,
TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,Belt Speed (Hz),,,,,,Operation time,Accumulate,Belt Speed (Hz),,,,,,
(hh:mm:ss),ALL,LINE 2,LINE 3,ALL,LINE 2,LINE 3,FREEZER CAPACITY,M04A,M04B,M07,M08,M09,M10,Hr.,Pcs/Day,M11,M12,M13,,,,
3:29:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:30:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:31:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:32:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:33:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:34:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:35:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:36:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:37:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:38:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:39:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:40:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:41:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:42:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:43:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:44:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:45:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:46:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:47:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:48:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:49:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:50:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:51:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:52:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:53:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:54:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:55:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:56:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:57:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:58:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:59:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:00:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:01:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:02:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:03:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:04:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:05:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:06:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:07:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:08:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:09:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:10:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:11:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:12:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:13:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:14:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:15:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:16:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:17:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:18:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:19:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:20:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:21:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:22:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:23:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:24:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:25:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:26:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:27:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:28:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:29:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:30:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:31:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:32:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
4:33:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
